letter	frequency
0	614
1	458
2	294
3	216
4	179
5	212
6	226
7	156
8	129
9	128
10	116
11	90
12	166
13	165
14	233
15	284
16	362
17	603
18	730
19	709
20	727
21	761
22	763
23	679
